0, 0, 0, 6, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 
0, 0, 10, 8, 9, 10000, 13, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 
0, 10, 0, 8, 10000, 12, 10000, 10000, 14, 10000, 10000, 10000, 10000, 10000, 10000, 
6, 8, 8, 0, 0, 0, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 
10000, 9, 10000, 0, 0, 0, 10, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 
10000, 10000, 12, 0, 0, 0, 10000, 10000, 10, 10000, 10000, 10000, 10000, 10000, 10000, 
10000, 13, 10000, 10000, 10, 10000, 0, 0, 10, 7, 10000, 10000, 10000, 10000, 0, 
10000, 10000, 10000, 10000, 10000, 10000, 0, 0, 8, 10000, 10000, 10000, 10000, 10000, 0, 
10000, 10000, 14, 10000, 10000, 10, 10, 8, 0, 10000, 10000, 7, 8, 10000, 10000, 
10000, 10000, 10000, 10000, 10000, 10000, 7, 10000, 10000, 0, 6, 10000, 10000, 0, 7, 
10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 6, 0, 10000, 10000, 9, 7, 
10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 7, 10000, 10000, 0, 5, 10000, 10000, 
10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 8, 10000, 10000, 5, 0, 0, 5, 
10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 0, 9, 10000, 0, 0, 6, 
10000, 10000, 10000, 10000, 10000, 10000, 0, 0, 10000, 7, 7, 10000, 5, 6, 0, 
