0, 8, 8, 6, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 
8, 0, 10, 8, 9, 10000, 13, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 
8, 10, 0, 8, 10000, 12, 10000, 10000, 14, 10000, 10000, 10000, 10000, 10000, 
6, 8, 8, 0, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 
10000, 9, 10000, 10000, 0, 10000, 10, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 
10000, 10000, 12, 10000, 10000, 0, 10000, 10000, 10, 10000, 10000, 10000, 10000, 10000, 
10000, 13, 10000, 10000, 10, 10000, 0, 10, 10, 7, 10000, 10000, 10000, 10000, 
10000, 10000, 10000, 10000, 10000, 10000, 10, 0, 8, 10000, 10000, 10000, 10000, 10000, 
10000, 10000, 14, 10000, 10000, 10, 10, 8, 0, 10000, 10000, 7, 8, 10000, 
10000, 10000, 10000, 10000, 10000, 10000, 7, 10000, 10000, 0, 6, 10000, 12, 9, 
10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 6, 0, 10000, 12, 9, 
10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 7, 10000, 10000, 0, 5, 10000, 
10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 8, 12, 12, 5, 0, 11, 
10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 9, 9, 10000, 11, 0, 
